"Store Number","Store Name","Address","City","State","Zip","Phone","Latitude","Longitude","Car Wash","Sells Gas","Sells Diesel","Sells BioDiesel","Sells CNG","Sells LNG","Sells DEF","Sells E85"
"419","KWIK STAR #419","1510 S GRAND AVE","CHARLES CITY","IA","50616","(641) 228-8099","43.04749","-92.67189","No","Yes","Yes","No","No","No","Yes","No"
"1066","KWIK STAR #1066","1006 N 20TH ST","CLEAR LAKE","IA","50428","(641) 357-1888","43.14543","-93.36422","No","Yes","Yes","No","No","No","No","Yes"
"223","KWIK STAR #223","3205 WILLOW CREEK CT","CLEAR LAKE","IA","50428","(641) 357-5027","43.14583","-93.34888","No","Yes","Yes","No","No","No","Yes","Yes"
"642","KWIK STAR #642","911 S 14TH ST","CLINTON","IA","52732","(563) 242-5224","41.83581","-90.21829","No","Yes","No","No","No","No","No","No"
"348","KWIK STAR #348","2321 LINCOLN WAY","CLINTON","IA","52732","(563) 242-9385","41.81468","-90.24127","No","Yes","Yes","No","No","No","Yes","No"
"698","KWIK STAR #698","249 MAIN AVE","CLINTON","IA","52732","(563) 242-7705","41.87293","-90.183","No","Yes","Yes","No","No","No","No","No"
"428","KWIK STAR #428","330 2ND AVE SE","CRESCO","IA","52136","(563) 547-5507","43.37134","-92.11202","No","Yes","Yes","No","No","No","No","No"
"215","KWIK STAR #215","100 W 65TH ST","DAVENPORT","IA","52806","(563) 386-8458","41.58574","-90.57342","No","Yes","Yes","No","Yes","No","Yes","Yes"
"123","KWIK STAR #123","2850 W LOCUST ST","DAVENPORT","IA","52804","(563) 386-8787","41.53838","-90.61916","No","Yes","Yes","No","No","No","No","Yes"
"562","TOBACCO OUTLET PLUS GROC #562","4619 N BRADY ST","DAVENPORT","IA","52806","(563) 326-1152","41.56833","-90.5675","No","Yes","No","No","No","No","No","No"
"280","KWIK STAR #280","301 W KIMBERLY RD","DAVENPORT","IA","52806","(563) 391-9783","41.55926","-90.57509","Yes","Yes","Yes","No","No","No","No","Yes"
"167","KWIK STAR #167","2050 E 53RD ST","DAVENPORT","IA","52807","(563) 359-4877","41.57548","-90.54764","Yes","Yes","Yes","No","No","No","No","Yes"
"294","KWIK STAR #294","1650 W KIMBERLY RD","DAVENPORT","IA","52806","(563) 386-8407","41.56074","-90.59898","Yes","Yes","Yes","No","No","No","No","Yes"
"291","KWIK STAR #291","1225 E KIMBERLY RD","DAVENPORT","IA","52807","(563) 391-1976","41.55602","-90.55666","No","Yes","Yes","No","No","No","No","Yes"
"207","KWIK STAR #207","1420 11TH ST","DE WITT","IA","52742","(563) 659-6500","41.82653","-90.55175","Yes","Yes","Yes","No","No","No","No","Yes"
"1081","KWIK STAR #1081","1101 MONTGOMERY ST","DECORAH","IA","52101","(563) 382-4469","43.29297","-91.77053","No","Yes","Yes","No","No","No","No","No"
"629","KWIK STAR #629","905 SHORT ST","DECORAH","IA","52101","(563) 382-3655","43.29196","-91.79558","No","Yes","Yes","No","No","No","No","No"
"701","KWIK STAR #701","341 S STATE ST","DENVER","IA","50622","(319) 984-5242","42.67083","-92.33696","No","Yes","Yes","No","No","No","No","No"
"519","TOBACCO OUTLET PLUS GROC #519","727 SE 14TH ST","DES MOINES","IA","50317","(515) 282-0702","41.58167","-93.59641","No","Yes","Yes","No","No","No","No","No"
"503","TOBACCO OUTLET PLUS #503","400 EUCLID AVE","DES MOINES","IA","50313","(515) 280-6895","41.62694","-93.62277","No","No","No","No","No","No","No","No"
"510","TOBACCO OUTLET PLUS #510","3409 SW 9TH ST","DES MOINES","IA","50315","(515) 953-5960","41.55306","-93.62583","No","No","No","No","No","No","No","No"
"1053","KWIK STAR #1053","4105 HUBBELL AVE","DES MOINES","IA","50317","(515) 262-8120","41.63441","-93.53379","Yes","Yes","Yes","No","No","No","No","Yes"
"521","TOBACCO OUTLET PLUS #521","3301 E EUCLID AVE","DES MOINES","IA","50317","(515) 262-2717","41.62694","-93.55083","No","No","No","No","No","No","No","No"
"506","TOBACCO OUTLET PLUS GROC #506","4923 MERLE HAY RD","DES MOINES","IA","50322","(515) 226-3280","41.64933","-93.69727","No","Yes","Yes","No","No","No","No","No"
"703","KWIK STAR #703","109 E DIKE RD","DIKE","IA","50624","(319) 989-2007","42.46941","-92.62779","No","Yes","No","No","No","No","No","No"
"504","TOBACCO OUTLET PLUS #504","806 WACKER DR STE 140","DUBUQUE","IA","52002","(563) 582-4607","42.4925","-90.71861","No","No","No","No","No","No","No","No"
"495","KWIK STAR #495","2685 DODGE ST","DUBUQUE","IA","52003","(563) 583-5159","42.49194","-90.70229","Yes","Yes","Yes","No","No","No","No","Yes"
"236","KWIK STAR #236","2035 JOHN F KENNEDY RD","DUBUQUE","IA","52002","(563) 583-3271","42.50741","-90.72189","No","Yes","Yes","No","No","No","No","Yes"
"716","KWIK STAR #716","210 SOUTH ST","DUMONT","IA","50625","(641) 857-3817","42.74517","-92.96744","No","Yes","No","No","No","No","No","No"
"702","KWIK STAR #702","813 S CANFIELD ST","DUNKERTON","IA","50626","(319) 822-4411","42.56486","-92.16026","No","Yes","Yes","No","No","No","No","No"
"1025","KWIK STAR #1025","1724 CENTRAL AVE","ESTHERVILLE","IA","51334","(712) 362-4836","43.40181","-94.82041","Yes","Yes","Yes","No","No","No","Yes","Yes"
"278","KWIK STAR #278","100 W GILBERT DR","EVANSDALE","IA","50707","(319) 232-2110","42.46236","-92.29773","No","Yes","Yes","No","No","No","No","Yes"
"940","KWIK STAR #940","806 HIGHWAY 69 N","FOREST CITY","IA","50436","(641) 582-2074","43.27025","-93.63398","No","Yes","Yes","No","No","No","Yes","Yes"
"927","KWIK STAR #927","1606 S TRITON DR","FORT DODGE","IA","50501","(515) 573-1060","42.48581","-94.20204","No","Yes","Yes","No","No","No","Yes","Yes"
"116","TOBACCO OUTLET PLUS GROC #116","201 N 15TH ST","FORT DODGE","IA","50501","(515) 576-0483","42.50869","-94.17779","No","Yes","No","No","No","No","No","No"
"509","KWIK STAR #509","3121 5TH AVE S","FORT DODGE","IA","50501","(515) 955-3159","42.50083","-94.15194","Yes","Yes","Yes","No","No","No","Yes","Yes"
"920","KWIK STAR #920","150 E US HIGHWAY 18","GARNER","IA","50438","(641) 923-6071","43.10617","-93.60125","No","Yes","Yes","No","No","No","Yes","Yes"
"1055","KWIK STAR #1055","2351 E 1ST ST","GRIMES","IA","50111","(515) 986-1386","41.68906","-93.76912","Yes","Yes","Yes","No","No","No","No","Yes"
"1024","KWIK STAR #1024","1450 NE GATEWAY CT","GRIMES","IA","50111","(515) 300-9348","41.69951","-93.77736","Yes","Yes","Yes","No","No","No","No","Yes"
"145","KWIK STAR #145","402 S HIGHWAY 52","GUTTENBERG","IA","52052","(563) 252-2113","42.78236","-91.10083","No","Yes","Yes","No","No","No","Yes","Yes"
"567","KWIK STAR #567","300 CENTRAL AVE W","HAMPTON","IA","50441","(641) 456-2315","42.74111","-93.21194","No","Yes","Yes","No","No","No","Yes","Yes"
"1032","KWIK STAR #1032","1880 BLAIRS FERRY RD","HIAWATHA","IA","52233","(319) 393-0522","42.03473","-91.69949","No","Yes","Yes","No","No","No","No","Yes"
"717","KWIK STAR #717","100 5TH AVE NE","INDEPENDENCE","IA","50644","(319) 334-4812","42.46904","-91.88902","No","Yes","No","No","No","No","No","No"
"537","TOBACCO OUTLET PLUS #537","923 S RIVERSIDE DR","IOWA CITY","IA","52246","(319) 356-6122","41.64889","-91.54055","No","No","No","No","No","No","No","No"
"103","KWIK STAR #103","701 S OAK ST","IOWA FALLS","IA","50126","(641) 648-6707","42.50639","-93.263","No","Yes","Yes","No","No","No","Yes","Yes"
"712","KWIK STAR #712","811 BARRICK RD","JANESVILLE","IA","50647","(319) 987-2421","42.65","-92.455","No","Yes","Yes","No","No","No","Yes","No"
"713","KWIK STAR #713","841 SOUTH ST","JESUP","IA","50648","(319) 827-3344","42.4685","-92.05949","No","Yes","Yes","No","No","No","No","No"
"818","KWIK STAR #818","301 MAIN ST","LANSING","IA","52151","(563) 538-4308","43.36154","-91.21723","No","Yes","No","No","No","No","No","No"
"790","KWIK STAR #790","1000 W MAIN ST","MANCHESTER","IA","52057","(563) 927-4100","42.48332","-91.47041","Yes","Yes","Yes","No","No","No","No","Yes"
"894","KWIK STAR #894","917 W PLATT ST","MAQUOKETA","IA","52060","(563) 652-4477","42.06838","-90.67874","Yes","Yes","Yes","No","No","No","No","Yes"
"212","KWIK STAR #212","102 DAVID ST","MAQUOKETA","IA","52060","(563) 652-4934","42.04949","-90.66643","No","Yes","Yes","No","No","No","Yes","No"
"1008","KWIK STAR #1008","5992 CARLSON WAY","MARION","IA","52302","(319) 377-4375","42.03816","-91.54891","No","Yes","Yes","No","No","No","No","Yes"
"394","KWIK STAR #394","2500 S CENTER ST STE B","MARSHALLTOWN","IA","50158","(641) 752-4538","42.01524","-92.91183","No","Yes","Yes","No","No","No","No","No"
"607","KWIK STAR #607","814 S 6TH ST","MARSHALLTOWN","IA","50158","(641) 752-0701","42.03844","-92.92127","No","Yes","No","No","No","No","No","No"
"706","KWIK STAR #706","810 S 3RD AVE","MARSHALLTOWN","IA","50158","(641) 752-6661","42.03851","-92.90726","No","Yes","Yes","No","No","No","No","No"
"1027","KWIK STAR #1027","1502 S FEDERAL AVE","MASON CITY","IA","50401","(641) 421-2017","43.13698","-93.20144","Yes","Yes","Yes","No","No","No","Yes","Yes"
"1077","KWIK STAR #1077","1316 4TH ST SW","MASON CITY","IA","50401","(641) 423-1716","43.14862","-93.22204","Yes","Yes","Yes","No","No","No","No","Yes"
"552","TOBACCO OUTLET PLUS #552","2480 4TH ST SW","MASON CITY","IA","50401","(641) 423-5090","43.14889","-93.2375","No","No","No","No","No","No","No","No"
"508","TOBACCO OUTLET PLUS #508","1610 S FEDERAL AVE","MASON CITY","IA","50401","(641) 421-1750","43.13639","-93.20305","No","No","No","No","No","No","No","No"
"720","KWIK STAR #720","125 MAIN ST","MC GREGOR","IA","52157","(563) 873-3825","43.0256","-91.17388","No","Yes","No","No","No","No","No","No"
"711","KWIK STAR #711","12801 FALCON AVE","MONONA","IA","52159","(563) 539-4218","43.04001","-91.39123","No","Yes","Yes","No","No","No","No","No"
"1064","KWIK STAR #1064","3605 UNIVERSITY DR","MUSCATINE","IA","52761","(563) 264-6948","41.45961","-91.01764","No","Yes","Yes","No","No","No","No","Yes"
"616","KWIK STAR #616","201 GREENWOOD AVE","NASHUA","IA","50658","(641) 435-4934","42.95854","-92.52992","No","Yes","Yes","No","No","No","No","No"
"895","KWIK STAR #895","825 W MILWAUKEE ST","NEW HAMPTON","IA","50659","(641) 394-2441","43.06753","-92.32838","No","Yes","Yes","No","No","No","Yes","No"
"714","KWIK STAR #714","115 E MAIN ST","NEW HAMPTON","IA","50659","(641) 394-3785","43.05909","-92.31334","No","Yes","No","No","No","No","No","No"
"1001","KWIK STAR #1001","1910 1ST AVE E","NEWTON","IA","50208","(641) 841-4011","41.69929","-93.02809","No","Yes","Yes","No","No","No","Yes","Yes"
"665","KWIK STAR #665","10 1ST AVE SE","OELWEIN","IA","50662","(319) 283-2113","42.67796","-91.91243","No","Yes","Yes","No","No","No","No","No"
"801","KWIK STAR #801","809 MAIN ST","OSAGE","IA","50461","(641) 732-5337","43.28441","-92.80906","No","Yes","No","No","No","No","No","No"
"704","KWIK STAR #704","605 HIGHWAY 57","PARKERSBURG","IA","50665","(319) 346-2468","42.57083","-92.78638","No","Yes","Yes","No","No","No","No","Yes"
"1072","KWIK STAR #1072","124 W TILDEN ST","POSTVILLE","IA","52162","(563) 864-2099","43.08436","-91.56897","No","Yes","Yes","No","No","No","No","Yes"
"708","KWIK STAR #708","COUNTY ROAD 49 410 E 6TH ST","READLYN","IA","50668","(319) 279-3319","42.70561","-92.21949","No","Yes","No","No","No","No","No","No"
"705","KWIK STAR #705","705 N PUBLIC RD","SHELL ROCK","IA","50670","(319) 885-4324","42.71526","-92.57498","No","Yes","No","No","No","No","No","No"
"1012","KWIK STAR #1012","3350 HIGHWAY 71","SPIRIT LAKE","IA","51360","(712) 336-8914","43.40896","-95.12724","Yes","Yes","Yes","No","No","No","Yes","Yes"
"1068","KWIK STAR #1068","1704 BROAD ST","STORY CITY","IA","50248","(515) 733-2034","42.18735","-93.56708","Yes","Yes","Yes","No","No","No","Yes","No"
"710","KWIK STAR #710","201 W HIGHWAY 30","TOLEDO","IA","52342","(641) 484-4203","41.98741","-92.58324","No","Yes","No","No","No","No","No","No"
"507","TOBACCO OUTLET PLUS #507","6941 DOUGLAS AVE","URBANDALE","IA","50322","(515) 334-9524","41.62959","-93.71182","No","No","No","No","No","No","No","No"
"1076","KWIK STAR #1076","1208 W 13TH ST","VINTON","IA","52349","(319) 472-3591","42.15902","-92.03876","No","Yes","Yes","No","No","No","Yes","Yes"
"1004","KWIK STAR #1004","111 E DONALD ST","WATERLOO","IA","50703","(319) 232-5335","42.52765","-92.33748","No","Yes","Yes","No","No","No","Yes","Yes"
"724","KWIK STAR #724","1105 CEDAR BEND ST","WATERLOO","IA","50703","(319) 234-8196","42.52898","-92.36912","No","Yes","No","No","No","No","No","No"
"380","KWIK STAR #380","506 W 9TH ST","WATERLOO","IA","50702","(319) 833-0928","42.48934","-92.33801","Yes","Yes","Yes","No","No","No","No","No"
"732","KWIK STAR #732","324 FLETCHER AVE","WATERLOO","IA","50701","(319) 233-2989","42.48834","-92.36756","Yes","Yes","Yes","No","Yes","No","Yes","No"
"229","KWIK STAR #229","1717 E SAN MARNAN DR","WATERLOO","IA","50702","(319) 233-3584","42.46713","-92.32291","Yes","Yes","Yes","No","No","No","No","Yes"
"715","KWIK STAR #715","1636 W 4TH ST","WATERLOO","IA","50702","(319) 234-0859","42.48455","-92.35683","No","Yes","No","No","No","No","No","No"
"723","KWIK STAR #723","707 BROADWAY ST","WATERLOO","IA","50703","(319) 234-2620","42.51256","-92.3455","No","Yes","No","No","No","No","No","No"
"500","TOBACCO OUTLET PLUS #500","1803 LAPORTE RD","WATERLOO","IA","50702","(319) 234-6821","42.46922","-92.32194","No","No","No","No","No","No","No","No"
"569","KWIK STAR #569","875 FISHER DR","WATERLOO","IA","50701","(319) 232-1917","42.4556","-92.37574","Yes","Yes","Yes","No","No","No","Yes","Yes"
"722","KWIK STAR #722","1214 FRANKLIN ST","WATERLOO","IA","50703","(319) 233-4568","42.49569","-92.32644","No","Yes","No","No","No","No","No","No"
"823","KWIK STAR #823","101 ROSSVILLE RD","WAUKON","IA","52172","(563) 568-3327","43.26814","-91.47612","No","Yes","Yes","No","No","No","No","No"
"286","KWIK STAR #286","2501 4TH ST SW","WAVERLY","IA","50677","(319) 352-1218","42.70269","-92.47549","No","Yes","Yes","No","No","No","No","Yes"
"707","KWIK STAR #707","400 E BREMER AVE","WAVERLY","IA","50677","(319) 352-2155","42.72536","-92.4646","No","Yes","Yes","No","No","No","No","No"
"752","KWIK STAR #752","500 W BREMER AVE","WAVERLY","IA","50677","(319) 352-1176","42.72602","-92.47728","No","Yes","Yes","No","No","No","No","No"
"924","KWIK STAR #924","505 FAIR MEADOW DR","WEBSTER CITY","IA","50595","(515) 832-7908","42.45358","-93.81757","Yes","Yes","Yes","No","No","No","Yes","Yes"
"565","TOBACCO OUTLET PLUS #565","1220 GRAND AVE STE 101","WEST DES MOINES","IA","50265","(515) 440-0608","41.58","-93.72083","No","No","No","No","No","No","No","No"
"875","KWIK TRIP #875","2611 BRIDGE AVE","ALBERT LEA","MN","56007","(507) 373-1032","43.68334","-93.36005","No","Yes","Yes","No","No","No","Yes","Yes"
"804","KWIK TRIP #804","906 W FRONT ST","ALBERT LEA","MN","56007","(507) 373-6777","43.64428","-93.3805","No","Yes","Yes","No","No","No","No","No"
"805","KWIK TRIP #805","1210 E MAIN ST","ALBERT LEA","MN","56007","(507) 373-1220","43.65176","-93.35362","Yes","Yes","Yes","No","No","No","No","No"
"1020","KWIK TRIP #1020","6300 LABEAUX AVE NE","ALBERTVILLE","MN","55301","(763) 497-3701","45.24221","-93.66252","Yes","Yes","Yes","No","No","No","No","Yes"
"812","KWIK TRIP #812","1756 BUNKER LAKE BLVD NW","ANDOVER","MN","55304","(763) 757-4905","45.21892","-93.31075","Yes","Yes","Yes","No","No","No","No","Yes"
"1017","KWIK TRIP #1017","617 BUCHANAN ST","ANOKA","MN","55303","(763) 421-6012","45.20686","-93.37851","Yes","Yes","Yes","No","No","No","Yes","Yes"
"474","KWIK TRIP #474","2900 CUTTERS GROVE AVE","ANOKA","MN","55303","(763) 421-9170","45.21134","-93.41277","No","Yes","Yes","No","No","No","No","No"
"397","KWIK TRIP #397","15065 DODD BLVD","APPLE VALLEY","MN","55124","(952) 322-4933","44.73065","-93.15694","No","Yes","Yes","No","No","No","No","No"
"695","KWIK TRIP #695","13357 PALOMINO DR","APPLE VALLEY","MN","55124","(952) 431-4103","44.75666","-93.24731","Yes","Yes","Yes","No","No","No","No","No"
"421","KWIK TRIP #421","14941 FLORENCE TRL","APPLE VALLEY","MN","55124","(952) 432-5886","44.73257","-93.20169","Yes","Yes","Yes","No","No","No","No","No"
"406","KWIK TRIP #406","7545 145TH ST W","APPLE VALLEY","MN","55124","(952) 431-7222","44.73972","-93.21869","Yes","Yes","Yes","No","No","No","No","Yes"
"445","KWIK TRIP #445","1401 4TH ST NW","AUSTIN","MN","55912","(507) 433-3008","43.67893","-92.98003","Yes","Yes","Yes","No","No","No","No","Yes"
"689","KWIK TRIP #689","1201 W OAKLAND AVE","AUSTIN","MN","55912","(507) 437-4771","43.66634","-92.98906","No","Yes","No","No","No","No","No","No"
"246","KWIK TRIP #246","1300 14TH ST NW","AUSTIN","MN","55912","(507) 433-9219","43.67787","-92.99335","No","Yes","Yes","No","No","No","No","Yes"
"250","KWIK TRIP #250","1509 10TH PL NE","AUSTIN","MN","55912","(507) 437-6702","43.6763","-92.95351","Yes","Yes","Yes","No","Yes","No","Yes","Yes"
"330","KWIK TRIP #330","104 ASPEN LN","BELLE PLAINE","MN","56011","(952) 873-2644","44.6234","-93.75722","Yes","Yes","Yes","No","No","No","No","Yes"
"168","KWIK TRIP #168","130 EAGLE LAKE RD N","BIG LAKE","MN","55309","(763) 263-0391","45.33292","-93.74092","Yes","Yes","Yes","No","No","No","No","Yes"
"896","KWIK TRIP #896","1355 85TH AVE NE","BLAINE","MN","55434","(763) 717-2807","45.12528","-93.23671","Yes","Yes","Yes","No","No","No","No","No"
"1022","KWIK TRIP #1022","11736 ULYSSES LN NE","BLAINE","MN","55434","(763) 767-7468","45.18347","-93.2397","No","Yes","Yes","No","No","No","No","Yes"
"1014","KWIK TRIP #1014","12260 FRAIZER ST NE","BLAINE","MN","55449","(763) 784-6098","45.1914","-93.16206","Yes","Yes","Yes","No","No","No","No","Yes"
"925","KWIK TRIP #925","10510 RADISSON RD NE","BLAINE","MN","55449","(763) 786-4409","45.16117","-93.21489","Yes","Yes","Yes","No","No","No","No","Yes"
"646","KWIK TRIP #646","209 S GROVE ST","BLUE EARTH","MN","56013","(507) 526-4666","43.63731","-94.09026","No","Yes","Yes","No","No","No","No","No"
"880","KWIK TRIP #880","5801 96TH AVE N","BROOKLYN PARK","MN","55443","(763) 425-3041","45.13088","-93.35504","Yes","Yes","Yes","No","No","No","No","No"
"448","KWIK TRIP #448","9495 NOBLE PKWY N","BROOKLYN PARK","MN","55443","(763) 315-1720","45.1267","-93.33722","Yes","Yes","Yes","No","No","No","No","No"
"458","KWIK TRIP #458","1600 CESSNA ST","BUFFALO","MN","55313","(763) 682-3059","45.15514","-93.84712","Yes","Yes","Yes","No","No","No","Yes","Yes"
"585","KWIK TRIP #585","1945 136TH ST W","BURNSVILLE","MN","55337","(952) 808-0381","44.75597","-93.30401","Yes","Yes","Yes","No","No","No","No","Yes"
"309","KWIK TRIP #309","501 CRYSTAL LAKE RD W","BURNSVILLE","MN","55306","(952) 898-4774","44.73106","-93.28539","No","Yes","Yes","No","No","No","No","No"
"622","KWIK TRIP #622","16 2ND AVE NW","BYRON","MN","55920","(507) 775-6700","44.0294","-92.64752","Yes","Yes","Yes","No","No","No","No","Yes"
"1045","KWIK TRIP #1045","863 HIGH POINT DR NE","BYRON","MN","55920","(507) 775-0090","44.03006","-92.63153","No","Yes","Yes","No","No","No","No","Yes"
"733","KWIK TRIP #733","608 ESCH DR","CALEDONIA","MN","55921","(507) 725-2906","43.64037","-91.5031","No","Yes","Yes","No","No","No","Yes","Yes"
"571","KWIK TRIP #571","1711 HIGHWAY 210","CARLTON","MN","55718","(218) 384-4181","46.66407","-92.47152","No","Yes","Yes","No","No","No","Yes","Yes"
"402","KWIK TRIP #402","2201 W 78TH ST","CHANHASSEN","MN","55317","(952) 470-4584","44.86419","-93.57803","Yes","Yes","Yes","No","No","No","No","No"
"492","KWIK TRIP #492","8921 CROSSROADS BLVD","CHANHASSEN","MN","55317","(952) 937-6915","44.84248","-93.53972","Yes","Yes","Yes","No","No","No","No","Yes"
"886","KWIK TRIP #886","2900 N CHESTNUT ST","CHASKA","MN","55318","(952) 368-1942","44.82898","-93.60416","No","Yes","Yes","No","No","No","No","Yes"
"608","KWIK TRIP #608","150 HIGHWAY 30 W","CHATFIELD","MN","55923","(507) 867-3415","43.85051","-92.19402","No","Yes","Yes","No","No","No","No","Yes"
"874","KWIK TRIP #874","11085 LAKE BLVD","CHISAGO CITY","MN","55013","(651) 257-6004","45.37563","-92.8823","Yes","Yes","Yes","No","No","No","Yes","Yes"
"206","KWIK TRIP #206","3405 LAKE DR","CIRCLE PINES","MN","55014","(763) 780-1983","45.13042","-93.18328","Yes","Yes","Yes","No","No","No","No","No"
"104","KWIK TRIP #104","8191 179TH ST NW","CLEARWATER","MN","55320","(320) 558-2111","45.4108","-94.06004","No","Yes","Yes","No","No","No","Yes","Yes"
"234","KWIK TRIP #234","1320 HIGHWAY 45","CLOQUET","MN","55720","(218) 879-0907","46.70157","-92.42462","No","Yes","Yes","No","No","No","Yes","Yes"
"144","KWIK TRIP #144","900 WASHINGTON AVE","CLOQUET","MN","55720","(218) 878-7931","46.7065","-92.45513","Yes","Yes","Yes","No","No","No","No","Yes"
"247","KWIK TRIP #247","235 NORTH RD","CLOQUET","MN","55720","(218) 879-2573","46.7362","-92.46657","No","Yes","Yes","No","No","No","No","Yes"
"465","KWIK TRIP #465","9250 SPRINGBROOK DR NW","COON RAPIDS","MN","55433","(763) 786-1558","45.13811","-93.27425","Yes","Yes","Yes","No","No","No","No","Yes"
"497","KWIK TRIP #497","42165 COUNTY ROAD 12","DAKOTA","MN","55925","(507) 643-6200","43.92397","-91.43845","No","Yes","Yes","No","No","No","Yes","Yes"
"1031","KWIK TRIP #1031","1305 BABCOCK BLVD E","DELANO","MN","55328","(763) 972-6778","45.03471","-93.77034","Yes","Yes","Yes","No","No","No","Yes","Yes"
"789","KWIK TRIP #789","408 2ND AVE NW","DODGE CENTER","MN","55927","(507) 374-2728","44.03206","-92.85739","No","Yes","No","No","No","No","No","No"
"218","KWIK TRIP #218","4215 GRAND AVE","DULUTH","MN","55807","(218) 624-6079","46.7493","-92.1555","No","Yes","Yes","No","No","No","No","No"
"224","KWIK TRIP #224","2715 W MICHIGAN ST","DULUTH","MN","55806","(218) 722-4695","46.76042","-92.13152","No","Yes","Yes","No","No","No","No","Yes"
"941","KWIK TRIP #941","110 S BOUNDARY AVE","DULUTH","MN","55810","(218) 624-4349","46.74131","-92.21676","Yes","Yes","Yes","No","No","No","Yes","Yes"
