"","str","formatted.address","entity.type","confidence","lat","lng"
"","124 COLLINS RD NE STE C, CEDAR RAPIDS, IA, 52402","124 Collins Rd NE,IA,Linn County,United States,124 Collins Rd NE, Cedar Rapids, IA 52402,Cedar Rapids,52402","Address","High","42.027564","-91.622851"
"","1001 BLAIRS FERRY RD NE, CEDAR RAPIDS, IA, 52402","1001 Blairs Ferry Rd NE,IA,Linn County,United States,1001 Blairs Ferry Rd NE, Cedar Rapids, IA 52402,Cedar Rapids,52402","Address","High","42.034653","-91.649798"
"","8835 RUNWAY CT SW, CEDAR RAPIDS, IA, 52404","8835 Runway Ct SW,IA,Linn County,United States,8835 Runway Ct SW, Cedar Rapids, IA 52404,Cedar Rapids,52404","Address","High","41.89218","-91.674076"
"","4141 CENTER POINT RD NE, CEDAR RAPIDS, IA, 52402","4141 Center Point Rd NE,IA,Linn County,United States,4141 Center Point Rd NE, Cedar Rapids, IA 52402,Cedar Rapids,52402","Address","High","42.0211923","-91.6659032"
"","3730 WILLIAMS BLVD SW, CEDAR RAPIDS, IA, 52404","3730 Williams Blvd SW,IA,Linn County,United States,3730 Williams Blvd SW, Cedar Rapids, IA 52404,Cedar Rapids,52404","Address","High","41.955552","-91.720794"
"","605 GILBERT ST, CHARLES CITY, IA, 50616","605 Gilbert St,IA,Floyd County,United States,605 Gilbert St, Charles City, IA 50616,Charles City,50616","Address","High","43.064522","-92.679427"
"","1510 S GRAND AVE, CHARLES CITY, IA, 50616","1510 S Grand Ave,IA,Floyd County,United States,1510 S Grand Ave, Charles City, IA 50616,Charles City,50616","Address","High","43.047457","-92.671687"
"","1006 N 20TH ST, CLEAR LAKE, IA, 50428","1006 N 20th St,IA,Cerro Gordo County,United States,1006 N 20th St, Clear Lake, IA 50428,Clear Lake,50428","Address","High","43.145389","-93.364051"
"","3205 WILLOW CREEK CT, CLEAR LAKE, IA, 50428","3205 Willow Creek Ct,IA,Cerro Gordo County,United States,3205 Willow Creek Ct, Clear Lake, IA 50428,Clear Lake,50428","Address","High","43.146535","-93.348603"
"","911 S 14TH ST, CLINTON, IA, 52732","911 S 14th St,IA,Clinton County,United States,911 S 14th St, Clinton, IA 52732,Clinton,52732","Address","High","41.835693","-90.218224"
"","2321 LINCOLN WAY, CLINTON, IA, 52732","2321 Lincoln Way,IA,Clinton County,United States,2321 Lincoln Way, Clinton, IA 52732,Clinton,52732","Address","High","41.81454","-90.241481"
"","249 MAIN AVE, CLINTON, IA, 52732","249 Main Ave,IA,Clinton County,United States,249 Main Ave, Clinton, IA 52732,Clinton,52732","Address","High","41.872936","-90.182754"
"","330 2ND AVE SE, CRESCO, IA, 52136","330 2nd Ave SE,IA,Howard County,United States,330 2nd Ave SE, Cresco, IA 52136,Cresco,52136","Address","High","43.371391","-92.112214"
"","100 W 65TH ST, DAVENPORT, IA, 52806","100 W 65th St,IA,Scott County,United States,100 W 65th St, Davenport, IA 52806,Davenport,52806","Address","High","41.58598","-90.573525"
"","2850 W LOCUST ST, DAVENPORT, IA, 52804","2850 W Locust St,IA,Scott County,United States,2850 W Locust St, Davenport, IA 52804,Davenport,52804","Address","High","41.538453","-90.619202"
"","4619 N BRADY ST, DAVENPORT, IA, 52806","4619 N Brady St,IA,Scott County,United States,4619 N Brady St, Davenport, IA 52806,Davenport,52806","Address","High","41.568146","-90.567399"
"","301 W KIMBERLY RD, DAVENPORT, IA, 52806","301 W Kimberly Rd,IA,Scott County,United States,301 W Kimberly Rd, Davenport, IA 52806,Davenport,52806","Address","High","41.559446","-90.576031"
"","2050 E 53RD ST, DAVENPORT, IA, 52807","2050 E 53rd St,IA,Scott County,United States,2050 E 53rd St, Davenport, IA 52807,Davenport,52807","Address","High","41.575222","-90.546779"
"","1650 W KIMBERLY RD, DAVENPORT, IA, 52806","1650 W Kimberly Rd,IA,Scott County,United States,1650 W Kimberly Rd, Davenport, IA 52806,Davenport,52806","Address","High","41.560616","-90.599222"
"","1225 E KIMBERLY RD, DAVENPORT, IA, 52807","1225 E Kimberly Rd,IA,Scott County,United States,1225 E Kimberly Rd, Davenport, IA 52807,Davenport,52807","Address","High","41.556116","-90.556607"
"","1420 11TH ST, DE WITT, IA, 52742","1420 11th St,IA,Clinton County,United States,1420 11th St, De Witt, IA 52742,De Witt,52742","Address","High","41.826215","-90.55118"
"","1101 MONTGOMERY ST, DECORAH, IA, 52101","1101 Montgomery St,IA,Winneshiek County,United States,1101 Montgomery St, Decorah, IA 52101,Decorah,52101","Address","High","43.292664","-91.770578"
"","905 SHORT ST, DECORAH, IA, 52101","905 Short St,IA,Winneshiek County,United States,905 Short St, Decorah, IA 52101,Decorah,52101","Address","High","43.291961","-91.795286"
"","341 S STATE ST, DENVER, IA, 50622","341 S State St,IA,Bremer County,United States,341 S State St, Denver, IA 50622,Denver,50622","Address","High","42.670695","-92.336972"
"","727 SE 14TH ST, DES MOINES, IA, 50317","727 SE 14th St,IA,Polk County,United States,727 SE 14th St, Des Moines, IA 50317,Des Moines,50317","Address","High","41.581873","-93.596408"
"","400 EUCLID AVE, DES MOINES, IA, 50313","400 Euclid Ave,IA,Polk County,United States,400 Euclid Ave, Des Moines, IA 50313,Des Moines,50313","Address","High","41.627344","-93.622512"
"","3409 SW 9TH ST, DES MOINES, IA, 50315","3409 SW 9th St,IA,Polk County,United States,3409 SW 9th St, Des Moines, IA 50315,Des Moines,50315","Address","High","41.553263","-93.625298"
"","4105 HUBBELL AVE, DES MOINES, IA, 50317","4105 Hubbell Ave,IA,Polk County,United States,4105 Hubbell Ave, Des Moines, IA 50317,Des Moines,50317","Address","High","41.634367","-93.533864"
"","3301 E EUCLID AVE, DES MOINES, IA, 50317","3301 E Euclid Ave,IA,Polk County,United States,3301 E Euclid Ave, Des Moines, IA 50317,Des Moines,50317","Address","High","41.6273572","-93.5510103"
"","4923 MERLE HAY RD, DES MOINES, IA, 50322","4923 Merle Hay Rd,IA,United States,4923 Merle Hay Rd, Des Moines, IA 50322,Des Moines,50322","Address","High","41.6492851","-93.6969896"
"","109 E DIKE RD, DIKE, IA, 50624","109 E Dike Rd,IA,Grundy County,United States,109 E Dike Rd, Dike, IA 50624,Dike,50624","Address","High","42.469478","-92.628706"
"","806 WACKER DR STE 140, DUBUQUE, IA, 52002","806 Wacker Dr,IA,Dubuque County,United States,806 Wacker Dr, Dubuque, IA 52002,Dubuque,52002","Address","High","42.492985","-90.718928"
"","2685 DODGE ST, DUBUQUE, IA, 52003","2685 Dodge St,IA,Dubuque County,United States,2685 Dodge St, Dubuque, IA 52003,Dubuque,52003","Address","High","42.491968","-90.702476"
"","2035 JOHN F KENNEDY RD, DUBUQUE, IA, 52002","2035 John F Kennedy Rd,IA,Dubuque County,United States,2035 John F Kennedy Rd, Dubuque, IA 52002,Dubuque,52002","Address","High","42.507165","-90.721023"
"","210 SOUTH ST, DUMONT, IA, 50625","210 South St,IA,Butler County,United States,210 South St, Dumont, IA 50625,Dumont,50625","Address","High","42.745289","-92.967487"
"","813 S CANFIELD ST, DUNKERTON, IA, 50626","813 S Canfield St,IA,Black Hawk County,United States,813 S Canfield St, Dunkerton, IA 50626,Dunkerton,50626","Address","High","42.564869","-92.16006"
"","1724 CENTRAL AVE, ESTHERVILLE, IA, 51334","1724 Central Ave,IA,Emmet County,United States,1724 Central Ave, Estherville, IA 51334,Estherville,51334","Address","High","43.401868","-94.820308"
"","100 W GILBERT DR, EVANSDALE, IA, 50707","100 W Gilbert Dr,IA,Black Hawk County,United States,100 W Gilbert Dr, Evansdale, IA 50707,Evansdale,50707","Address","High","42.4624646","-92.2975887"
"","806 HIGHWAY 69 N, FOREST CITY, IA, 50436","806 Highway 69 N,IA,Winnebago County,United States,806 Highway 69 N, Forest City, IA 50436,Forest City,50436","Address","High","43.270839","-93.6346"
"","1606 S TRITON DR, FORT DODGE, IA, 50501","1606 Triton Circle,IA,Webster County,United States,1606 Triton Circle, Fort Dodge, IA 50501,Fort Dodge,50501","Address","High","42.485376","-94.203046"
"","201 N 15TH ST, FORT DODGE, IA, 50501","201 N 15th St,IA,Webster County,United States,201 N 15th St, Fort Dodge, IA 50501,Fort Dodge,50501","Address","High","42.508586","-94.177307"
"","3121 5TH AVE S, FORT DODGE, IA, 50501","3121 5th Ave S,IA,Webster County,United States,3121 5th Ave S, Fort Dodge, IA 50501,Fort Dodge,50501","Address","High","42.500723","-94.150922"
"","150 E US HIGHWAY 18, GARNER, IA, 50438","150 E US Highway 18,IA,Hancock County,United States,150 E US Highway 18, Garner, IA 50438,Garner,50438","Address","High","43.106325","-93.601069"
"","2351 E 1ST ST, GRIMES, IA, 50111","2351 E 1st St,IA,Polk County,United States,2351 E 1st St, Grimes, IA 50111,Grimes,50111","Address","High","41.688673","-93.768626"
"","1450 NE GATEWAY CT, GRIMES, IA, 50111","1450 SE Gateway Dr,IA,Polk County,United States,1450 SE Gateway Dr, Grimes, IA 50111,Grimes,50111","Address","High","41.67590662417","-93.7776860064831"
"","402 S HIGHWAY 52, GUTTENBERG, IA, 52052","402 S Highway 52,IA,Clayton County,United States,402 S Highway 52, Guttenberg, IA 52052,Guttenberg,52052","Address","High","42.782317","-91.101474"
"","300 CENTRAL AVE W, HAMPTON, IA, 50441","300 Central Ave W,IA,Franklin County,United States,300 Central Ave W, Hampton, IA 50441,Hampton,50441","Address","High","42.741267","-93.211689"
"","1880 BLAIRS FERRY RD, HIAWATHA, IA, 52233","1880 Blairs Ferry Rd,IA,Linn County,United States,1880 Blairs Ferry Rd, Hiawatha, IA 52233,Hiawatha,52233","Address","High","42.034882","-91.698996"
"","100 5TH AVE NE, INDEPENDENCE, IA, 50644","100 5th Ave NE,IA,Buchanan County,United States,100 5th Ave NE, Independence, IA 50644,Independence,50644","Address","High","42.46894","-91.889041"
"","923 S RIVERSIDE DR, IOWA CITY, IA, 52246","923 S Riverside Dr,IA,Johnson County,United States,923 S Riverside Dr, Iowa City, IA 52246,Iowa City,52246","Address","High","41.648974","-91.540645"
"","701 S OAK ST, IOWA FALLS, IA, 50126","701 S Oak St,IA,Hardin County,United States,701 S Oak St, Iowa Falls, IA 50126,Iowa Falls,50126","Address","High","42.5061875","-93.2646778"
"","811 BARRICK RD, JANESVILLE, IA, 50647","811 Barrick Rd,IA,Bremer County,United States,811 Barrick Rd, Janesville, IA 50647,Janesville,50647","Address","High","42.650065","-92.455139"
"","841 SOUTH ST, JESUP, IA, 50648","841 South St,IA,Buchanan County,United States,841 South St, Jesup, IA 50648,Jesup,50648","Address","High","42.468957","-92.062678"
"","301 MAIN ST, LANSING, IA, 52151","301 Main St,IA,Allamakee County,United States,301 Main St, Lansing, IA 52151,Lansing,52151","Address","High","43.361442","-91.217272"
"","1000 W MAIN ST, MANCHESTER, IA, 52057","1000 W Main St,IA,Delaware County,United States,1000 W Main St, Manchester, IA 52057,Manchester,52057","Address","High","42.483322","-91.470635"
"","917 W PLATT ST, MAQUOKETA, IA, 52060","917 W Platt St,IA,Jackson County,United States,917 W Platt St, Maquoketa, IA 52060,Maquoketa,52060","Address","High","42.068248","-90.678392"
"","102 DAVID ST, MAQUOKETA, IA, 52060","102 David St,IA,Jackson County,United States,102 David St, Maquoketa, IA 52060,Maquoketa,52060","Address","High","42.04882","-90.666266"
"","5992 CARLSON WAY, MARION, IA, 52302","5992 Carlson Way,IA,Linn County,United States,5992 Carlson Way, Marion, IA 52302,Marion,52302","Address","High","42.037607","-91.54946"
"","2500 S CENTER ST STE B, MARSHALLTOWN, IA, 50158","2500 S Center St,IA,Marshall County,United States,2500 S Center St, Marshalltown, IA 50158,Marshalltown,50158","Address","High","42.01557","-92.910048"
"","814 S 6TH ST, MARSHALLTOWN, IA, 50158","814 S 6th St,IA,Marshall County,United States,814 S 6th St, Marshalltown, IA 50158,Marshalltown,50158","Address","High","42.038597","-92.921275"
"","810 S 3RD AVE, MARSHALLTOWN, IA, 50158","810 S 3rd Ave,IA,Marshall County,United States,810 S 3rd Ave, Marshalltown, IA 50158,Marshalltown,50158","Address","High","42.03855","-92.907066"
"","1502 S FEDERAL AVE, MASON CITY, IA, 50401","1502 S Federal Ave,IA,Cerro Gordo County,United States,1502 S Federal Ave, Mason City, IA 50401,Mason City,50401","Address","High","43.137036","-93.201462"
"","1316 4TH ST SW, MASON CITY, IA, 50401","1316 4th St SW,IA,Cerro Gordo County,United States,1316 4th St SW, Mason City, IA 50401,Mason City,50401","Address","High","43.1489023","-93.2219092"
"","2480 4TH ST SW, MASON CITY, IA, 50401","2480 4th St SW,IA,Cerro Gordo County,United States,2480 4th St SW, Mason City, IA 50401,Mason City,50401","Address","High","43.149471","-93.237353"
"","1610 S FEDERAL AVE, MASON CITY, IA, 50401","1610 S Federal Ave,IA,Cerro Gordo County,United States,1610 S Federal Ave, Mason City, IA 50401,Mason City,50401","Address","High","43.1361633","-93.2034303"
"","125 MAIN ST, MC GREGOR, IA, 52157","125 Main St,IA,Clayton County,United States,125 Main St, McGregor, IA 52157,McGregor,52157","Address","High","43.025473","-91.173927"
"","12801 FALCON AVE, MONONA, IA, 52159","12801 Falcon Ave,IA,Clayton County,United States,12801 Falcon Ave, Monona, IA 52159,Monona,52159","Address","High","43.040097","-91.391351"
"","3605 UNIVERSITY DR, MUSCATINE, IA, 52761","3605 University Dr,IA,Muscatine County,United States,3605 University Dr, Muscatine, IA 52761,Muscatine,52761","Address","High","41.460318","-91.017793"
"","201 GREENWOOD AVE, NASHUA, IA, 50658","201 Greenwood Ave,IA,Chickasaw County,United States,201 Greenwood Ave, Nashua, IA 50658,Nashua,50658","Address","High","42.958685","-92.529945"
"","825 W MILWAUKEE ST, NEW HAMPTON, IA, 50659","825 W Milwaukee St,IA,Chickasaw County,United States,825 W Milwaukee St, New Hampton, IA 50659,New Hampton,50659","Address","High","43.067591","-92.328215"
"","115 E MAIN ST, NEW HAMPTON, IA, 50659","115 E Main St,IA,Chickasaw County,United States,115 E Main St, New Hampton, IA 50659,New Hampton,50659","Address","High","43.059065","-92.313326"
"","1910 1ST AVE E, NEWTON, IA, 50208","1910 1st Ave E,IA,Jasper County,United States,1910 1st Ave E, Newton, IA 50208,Newton,50208","Address","High","41.699579","-93.028103"
"","10 1ST AVE SE, OELWEIN, IA, 50662","10 1st Ave SE,IA,Fayette County,United States,10 1st Ave SE, Oelwein, IA 50662,Oelwein,50662","Address","High","42.677948","-91.912538"
"","809 MAIN ST, OSAGE, IA, 50461","809 Main St,IA,Mitchell County,United States,809 Main St, Osage, IA 50461,Osage,50461","Address","High","43.284501","-92.809145"
"","605 HIGHWAY 57, PARKERSBURG, IA, 50665","605 Highway 57,IA,Butler County,United States,605 Highway 57, Parkersburg, IA 50665,Parkersburg,50665","Address","High","42.571017","-92.786335"
"","124 W TILDEN ST, POSTVILLE, IA, 52162","124 W Tilden St,IA,Allamakee County,United States,124 W Tilden St, Postville, IA 52162,Postville,52162","Address","High","43.084308","-91.569249"
"","COUNTY ROAD 49 410 E 6TH ST, READLYN, IA, 50668","410 E 6th St,IA,Bremer County,United States,410 E 6th St, Readlyn, IA 50668,Readlyn,50668","Address","High","42.705668","-92.21932"
"","705 N PUBLIC RD, SHELL ROCK, IA, 50670","705 N Public Rd,IA,Butler County,United States,705 N Public Rd, Shell Rock, IA 50670,Shell Rock,50670","Address","High","42.715263","-92.575145"
"","3350 HIGHWAY 71, SPIRIT LAKE, IA, 51360","3350 Highway 71,IA,Dickinson County,United States,3350 Highway 71, Spirit Lake, IA 51360,Spirit Lake,51360","Address","High","43.408964","-95.127227"
"","1704 BROAD ST, STORY CITY, IA, 50248","1704 Broad St,IA,Story County,United States,1704 Broad St, Story City, IA 50248,Story City,50248","Address","High","42.187193","-93.566969"
"","201 W HIGHWAY 30, TOLEDO, IA, 52342","201 W Highway 30,IA,Tama County,United States,201 W Highway 30, Toledo, IA 52342,Toledo,52342","Address","High","41.98729","-92.583363"
"","6941 DOUGLAS AVE, URBANDALE, IA, 50322","6941 Douglas Ave,IA,Polk County,United States,6941 Douglas Ave, Urbandale, IA 50322,Urbandale,50322","Address","High","41.6295606","-93.7119908"
"","1208 W 13TH ST, VINTON, IA, 52349","1208 W 13th St,IA,Benton County,United States,1208 W 13th St, Vinton, IA 52349,Vinton,52349","Address","High","42.1593658667428","-92.038235529609"
"","111 E DONALD ST, WATERLOO, IA, 50703","111 E Donald St,IA,Black Hawk County,United States,111 E Donald St, Waterloo, IA 50703,Waterloo,50703","Address","High","42.528244","-92.33692"
"","1105 CEDAR BEND ST, WATERLOO, IA, 50703","1105 Cedar Bend St,IA,Black Hawk County,United States,1105 Cedar Bend St, Waterloo, IA 50703,Waterloo,50703","Address","High","42.528875","-92.369185"
"","506 W 9TH ST, WATERLOO, IA, 50702","506 W 9th St,IA,Black Hawk County,United States,506 W 9th St, Waterloo, IA 50702,Waterloo,50702","Address","High","42.489386","-92.338187"
"","324 FLETCHER AVE, WATERLOO, IA, 50701","324 Fletcher Ave,IA,Black Hawk County,United States,324 Fletcher Ave, Waterloo, IA 50701,Waterloo,50701","Address","High","42.488147","-92.367664"
"","1717 E SAN MARNAN DR, WATERLOO, IA, 50702","1717 E San Marnan Dr,IA,Black Hawk County,United States,1717 E San Marnan Dr, Waterloo, IA 50702,Waterloo,50702","Address","High","42.466872","-92.322568"
"","1636 W 4TH ST, WATERLOO, IA, 50702","1636 W 4th St,IA,Black Hawk County,United States,1636 W 4th St, Waterloo, IA 50702,Waterloo,50702","Address","High","42.484502","-92.357034"
"","707 BROADWAY ST, WATERLOO, IA, 50703","707 Broadway St,IA,Black Hawk County,United States,707 Broadway St, Waterloo, IA 50703,Waterloo,50703","Address","High","42.512658","-92.345547"
"","1803 LAPORTE RD, WATERLOO, IA, 50702","1803 Laporte Rd,IA,Black Hawk County,United States,1803 Laporte Rd, Waterloo, IA 50702,Waterloo,50702","Address","High","42.4692145","-92.3219029"
"","875 FISHER DR, WATERLOO, IA, 50701","875 Fisher Dr,IA,Black Hawk County,United States,875 Fisher Dr, Waterloo, IA 50701,Waterloo,50701","Address","High","42.455747","-92.37562"
"","1214 FRANKLIN ST, WATERLOO, IA, 50703","1214 Franklin St,IA,Black Hawk County,United States,1214 Franklin St, Waterloo, IA 50703,Waterloo,50703","Address","High","42.495594","-92.326579"
"","101 ROSSVILLE RD, WAUKON, IA, 52172","101 Rossville Rd,IA,Allamakee County,United States,101 Rossville Rd, Waukon, IA 52172,Waukon,52172","Address","High","43.268053","-91.476123"
"","2501 4TH ST SW, WAVERLY, IA, 50677","2501 4th St SW,IA,Bremer County,United States,2501 4th St SW, Waverly, IA 50677,Waverly,50677","Address","High","42.702592","-92.475105"
"","400 E BREMER AVE, WAVERLY, IA, 50677","400 E Bremer Ave,IA,Bremer County,United States,400 E Bremer Ave, Waverly, IA 50677,Waverly,50677","Address","High","42.725199","-92.464566"
"","500 W BREMER AVE, WAVERLY, IA, 50677","500 W Bremer Ave,IA,Bremer County,United States,500 W Bremer Ave, Waverly, IA 50677,Waverly,50677","Address","High","42.726136","-92.477288"
"","505 FAIR MEADOW DR, WEBSTER CITY, IA, 50595","505 Fair Meadow Dr,IA,Hamilton County,United States,505 Fair Meadow Dr, Webster City, IA 50595,Webster City,50595","Address","High","42.45412","-93.818575"
"","1220 GRAND AVE STE 101, WEST DES MOINES, IA, 50265","1220 Grand Ave,IA,Polk County,United States,1220 Grand Ave, West Des Moines, IA 50265,West Des Moines,50265","Address","High","41.580284","-93.720502"
"","2611 BRIDGE AVE, ALBERT LEA, MN, 56007","2611 Bridge Ave,MN,Freeborn County,United States,2611 Bridge Ave, Albert Lea, MN 56007,Albert Lea,56007","Address","High","43.683396","-93.359625"
"","906 W FRONT ST, ALBERT LEA, MN, 56007","906 W Front St,MN,Freeborn County,United States,906 W Front St, Albert Lea, MN 56007,Albert Lea,56007","Address","High","43.644305","-93.380715"
"","1210 E MAIN ST, ALBERT LEA, MN, 56007","1210 E Main St,MN,Freeborn County,United States,1210 E Main St, Albert Lea, MN 56007,Albert Lea,56007","Address","High","43.651709","-93.353416"
"","6300 LABEAUX AVE NE, ALBERTVILLE, MN, 55301","6300 Labeaux Ave NE,MN,Wright County,United States,6300 Labeaux Ave NE, Albertville, MN 55301,Albertville,55301","Address","High","45.242211","-93.6625"
"","1756 BUNKER LAKE BLVD NW, ANDOVER, MN, 55304","1756 Bunker Lake Blvd NW,MN,Anoka County,United States,1756 Bunker Lake Blvd NW, Andover, MN 55304,Andover,55304","Address","High","45.218889","-93.310516"
"","617 BUCHANAN ST, ANOKA, MN, 55303","617 Buchanan St,MN,Anoka County,United States,617 Buchanan St, Anoka, MN 55303,Anoka,55303","Address","High","45.2068372","-93.3797458"
"","2900 CUTTERS GROVE AVE, ANOKA, MN, 55303","2900 Cutters Grove Ave,MN,Anoka County,United States,2900 Cutters Grove Ave, Anoka, MN 55303,Anoka,55303","Address","High","45.211454","-93.412692"
"","15065 DODD BLVD, APPLE VALLEY, MN, 55124","15065 Dodd Blvd,MN,United States,15065 Dodd Blvd, Apple Valley, MN 55124,Apple Valley,55124","Address","High","44.730627","-93.156781"
"","13357 PALOMINO DR, APPLE VALLEY, MN, 55124","13357 Palomino Dr,MN,United States,13357 Palomino Dr, Apple Valley, MN 55124,Apple Valley,55124","Address","High","44.756827","-93.24738"
"","14941 FLORENCE TRL, APPLE VALLEY, MN, 55124","14941 Florence Trail,MN,Ramsey County,United States,14941 Florence Trail, Apple Valley, MN 55124,Apple Valley,55124","Address","High","44.732384","-93.201673"
"","7545 145TH ST W, APPLE VALLEY, MN, 55124","7545 145th St W,MN,Ramsey County,United States,7545 145th St W, Apple Valley, MN 55124,Apple Valley,55124","Address","High","44.739523","-93.218896"
"","1401 4TH ST NW, AUSTIN, MN, 55912","1401 4th St NW,MN,Mower County,United States,1401 4th St NW, Austin, MN 55912,Austin,55912","Address","High","43.678911","-92.980102"
"","1201 W OAKLAND AVE, AUSTIN, MN, 55912","1201 W Oakland Ave,MN,Mower County,United States,1201 W Oakland Ave, Austin, MN 55912,Austin,55912","Address","High","43.666324","-92.988877"
"","1300 14TH ST NW, AUSTIN, MN, 55912","1300 14th St NW,MN,Mower County,United States,1300 14th St NW, Austin, MN 55912,Austin,55912","Address","High","43.677973","-92.992914"
"","1509 10TH PL NE, AUSTIN, MN, 55912","1509 10th Pl NE,MN,Mower County,United States,1509 10th Pl NE, Austin, MN 55912,Austin,55912","Address","High","43.6758916","-92.9536384"
"","104 ASPEN LN, BELLE PLAINE, MN, 56011","104 Aspen Ln,MN,Scott County,United States,104 Aspen Ln, Belle Plaine, MN 56011,Belle Plaine,56011","Address","High","44.623409","-93.757476"
"","130 EAGLE LAKE RD N, BIG LAKE, MN, 55309","130 Eagle Lake Rd N,MN,Sherburne County,United States,130 Eagle Lake Rd N, Big Lake, MN 55309,Big Lake,55309","Address","High","45.332937","-93.741125"
"","1355 85TH AVE NE, BLAINE, MN, 55434","1355 85th Ave NE,MN,Hennepin County,United States,1355 85th Ave NE, Blaine, MN 55434,Blaine,55434","Address","High","45.125547","-93.236404"
"","11736 ULYSSES LN NE, BLAINE, MN, 55434","11736 Ulysses Ln NE,MN,Anoka County,United States,11736 Ulysses Ln NE, Blaine, MN 55434,Blaine,55434","Address","High","45.183323","-93.23809"
"","12260 FRAIZER ST NE, BLAINE, MN, 55449","12260 Fraizer St NE,MN,Anoka County,United States,12260 Fraizer St NE, Blaine, MN 55449,Blaine,55449","Address","High","45.192179","-93.162069"
"","10510 RADISSON RD NE, BLAINE, MN, 55449","10510 Radisson Rd NE,MN,United States,10510 Radisson Rd NE, Blaine, MN 55449,Blaine,55449","Address","High","45.161672","-93.215773"
"","209 S GROVE ST, BLUE EARTH, MN, 56013","209 S Grove St,MN,Faribault County,United States,209 S Grove St, Blue Earth, MN 56013,Blue Earth,56013","Address","High","43.63714","-94.090111"
"","5801 96TH AVE N, BROOKLYN PARK, MN, 55443","5801 96th Ave N,MN,Hennepin County,United States,5801 96th Ave N, Brooklyn Park, MN 55443,Brooklyn Park,55443","Address","High","45.130841","-93.355315"
